Coach,School,Conference,W_2016,L_2016,W-L%_2016,AP_Pre_2016,AP_Post_2016,NCAA_Tournament_2016,Since_2016,W_Career_2016,L_Career_2016,W-L%_Career_2016,NCAA_Career_2016,S16_Career_2016,FF_Career_2016,Chmp_Career_2016,W_Overall_2016,L_Overall_2016,W-L%_Overall_2016,NCAA_Overall_2016,S16_Overall_2016,FF_Overall_2016,Chmp_Overall_2016
Joe Callero,Cal Poly,Big West,11,20,0.355,,,,2009-10,111,139,0.444,1,,,,111,139,0.444,1,,,
Rod Barnes,Cal State Bakersfield,WAC,25,10,0.714,,,,2011-12,106,88,0.546,1,,,,292,277,0.513,4,1,,
Dedrique Taylor,Cal State Fullerton,Big West,17,15,0.531,,,,2013-14,47,77,0.379,,,,,47,77,0.379,,,,
Reggie Theus,Cal State Northridge,Big West,11,19,0.367,,,,2013-14,47,81,0.367,,,,,88,104,0.458,1,,,
Cuonzo Martin,California,Pac-12,21,13,0.618,,,,2014-15,62,39,0.614,1,,,,186,121,0.606,2,1,,
Jim Les,UC-Davis,Big West,23,13,0.639,,,Lost First Round,2011-12,87,104,0.455,1,,,,241,244,0.497,2,1,,
Russ Turner,UC-Irvine,Big West,21,15,0.583,,,,2010-11,139,105,0.57,1,,,,139,105,0.57,1,,,
Dennis Cutts,UC-Riverside,Big West,8,21,0.276,,,,2013-14,46,78,0.371,,,,,46,78,0.371,,,,
Bob Williams,UCSB,Big West,6,22,0.214,,,,1998-99,313,260,0.546,3,,,,313,260,0.546,3,,,
Kevin McGeehan,Campbell,Big South,19,18,0.514,,,,2013-14,53,78,0.405,,,,,53,78,0.405,,,,
Reggie Witherspoon,Canisius,MAAC,18,16,0.529,,,,2016-17,18,16,0.529,,,,,216,244,0.47,,,,
Russ Pennell,Central Arkansas,Southland,8,24,0.25,,,,2014-15,17,72,0.191,,,,,38,86,0.306,1,1,,
Donyell Marshall,Central Connecticut,NEC,6,23,0.207,,,,2016-17,6,23,0.207,,,,,6,23,0.207,,,,
Johnny Dawkins,UCF,AAC,24,12,0.667,,,,2016-17,24,12,0.667,,,,,180,127,0.586,1,1,,
Keno Davis,Central Michigan,MAC,16,16,0.5,,,,2012-13,77,82,0.484,,,,,151,137,0.524,1,,,
Barclay Radebaugh,Charleston Southern,Big South,12,19,0.387,,,,2005-06,160,206,0.437,,,,,160,206,0.437,,,,
Mark Price,Charlotte,CUSA,13,17,0.433,,,,2015-16,27,36,0.429,,,,,27,36,0.429,,,,
Matt McCall,Chattanooga,Southern,19,12,0.613,,,,2015-16,48,18,0.727,1,,,,48,18,0.727,1,,,
Tracy Dildy,Chicago State,WAC,6,26,0.188,,,,2010-11,52,171,0.233,,,,,52,171,0.233,,,,
Mick Cronin,Cincinnati,AAC,30,6,0.833,,18,Lost Second Round,2006-07,237,135,0.637,7,1,,,306,159,0.658,9,1,,
Duggar Baucom,Citadel,Southern,12,21,0.364,,,,2015-16,22,43,0.338,,,,,173,202,0.461,,,,
Brad Brownell,Clemson,ACC,17,16,0.515,,,,2010-11,124,103,0.546,1,,,,291,188,0.608,4,,,
Gary Waters,Cleveland State,Horizon,9,22,0.29,,,,2006-07,194,172,0.53,1,,,,365,307,0.543,3,,,
Cliff Ellis,Coastal Carolina,Sun Belt,20,19,0.513,,,,2007-08,199,129,0.607,2,,,,735,467,0.611,10,3,,
Matt Langel,Colgate,Patriot,10,22,0.312,,,,2011-12,71,117,0.378,,,,,71,117,0.378,,,,
Earl Grant,College of Charleston,CAA,25,10,0.714,,,,2014-15,51,48,0.515,,,,,51,48,0.515,,,,
Tad Boyle,Colorado,Pac-12,19,15,0.559,,,,2010-11,149,95,0.611,4,,,,205,161,0.56,4,,,
Larry Eustachy,Colorado State,MWC,24,12,0.667,,,,2012-13,111,60,0.649,1,,,,513,318,0.617,5,1,,
Jim Engles,Columbia,Ivy,11,16,0.407,,,,2016-17,11,16,0.407,,,,,122,155,0.44,,,,
Kevin Ollie,UConn,AAC,16,17,0.485,18,,,2012-13,113,61,0.649,2,1,1,1,113,61,0.649,2,1,1,1
Michael Grant,Coppin State,MEAC,8,24,0.25,,,,2014-15,25,69,0.266,,,,,51,100,0.338,,,,
Brian Earl,Cornell,Ivy,8,21,0.276,,,,2016-17,8,21,0.276,,,,,8,21,0.276,,,,
Greg McDermott,Creighton,Big East,25,10,0.714,22,,Lost First Round,2010-11,166,82,0.669,4,,,,315,213,0.597,7,,,
David McLaughlin,Dartmouth,Ivy,7,20,0.259,,,,2016-17,7,20,0.259,,,,,7,20,0.259,,,,
Bob McKillop,Davidson,A-10,17,15,0.531,,,,1989-90,533,328,0.619,8,1,,,533,328,0.619,8,1,,
Archie Miller,Dayton,A-10,24,8,0.75,,,Lost First Round,2011-12,139,63,0.688,4,1,,,139,63,0.688,4,1,,
Martin Ingelsby,Delaware,CAA,13,20,0.394,,,,2016-17,13,20,0.394,,,,,13,20,0.394,,,,
Keith Walker,Delaware State,MEAC,10,22,0.312,,,,2013-14,40,71,0.36,,,,,40,71,0.36,,,,
Rodney Billups,Denver,Summit,16,14,0.533,,,,2016-17,16,14,0.533,,,,,16,14,0.533,,,,
Dave Leitao,DePaul,Big East,9,23,0.281,,,,2002-03,76,79,0.49,1,,,,161,174,0.481,2,,,
Bacari Alexander,Detroit,Horizon,8,23,0.258,,,,2016-17,8,23,0.258,,,,,8,23,0.258,,,,
Jeff Rutter,Drake,MVC,6,17,0.261,,,,2016-17,6,17,0.261,,,,,6,17,0.261,,,,
Ray Giacoletti,Drake,MVC,1,7,0.125,,,,2013-14,32,69,0.317,,,,,155,159,0.494,2,1,,
Zach Spiker,Drexel,CAA,9,23,0.281,,,,2016-17,9,23,0.281,,,,,111,135,0.451,,,,
Mike Krzyzewski,Duke,ACC,28,9,0.757,1,7,Lost Second Round,1980-81,998,271,0.786,33,23,12,5,1071,330,0.764,33,23,12,5
Jim Ferry,Duquesne,A-10,10,22,0.312,,,,2012-13,60,97,0.382,,,,,210,246,0.461,2,,,
Jeff Lebo,East Carolina,AAC,15,18,0.455,,,,2010-11,114,118,0.491,,,,,325,274,0.543,,,,
Steve Forbes,ETSU,Southern,27,8,0.771,,,Lost First Round,2015-16,51,20,0.718,1,,,,51,20,0.718,1,,,
Jay Spoonhour,Eastern Illinois,OVC,14,15,0.483,,,,2012-13,67,87,0.435,,,,,73,91,0.445,,,,
Dan McHale,Eastern Kentucky,OVC,12,19,0.387,,,,2015-16,27,35,0.435,,,,,27,35,0.435,,,,
Rob Murphy,Eastern Michigan,MAC,16,17,0.485,,,,2011-12,107,97,0.525,,,,,107,97,0.525,,,,
Jim Hayford,Eastern Washington,Big Sky,22,12,0.647,,,,2011-12,106,91,0.538,1,,,,106,91,0.538,1,,,
Matt Matheny,Elon,CAA,18,14,0.562,,,,2009-10,126,130,0.492,,,,,126,130,0.492,,,,
Marty Simmons,Evansville,MVC,16,17,0.485,,,,2007-08,167,160,0.511,,,,,167,160,0.511,,,,
Sydney Johnson,Fairfield,MAAC,16,15,0.516,,,,2011-12,90,109,0.452,,,,,156,162,0.491,1,,,
Greg Herenda,Fairleigh Dickinson,NEC,11,19,0.367,,,,2013-14,47,76,0.382,1,,,,47,76,0.382,1,,,
Michael White,Florida,SEC,27,9,0.75,,20,Lost Regional Final,2015-16,48,24,0.667,1,1,,,149,64,0.7,1,1,,
Byron Samuels,Florida A&M,MEAC,7,23,0.233,,,,2014-15,17,71,0.193,,,,,92,194,0.322,,,,
Michael Curry,Florida Atlantic,CUSA,10,20,0.333,,,,2014-15,27,65,0.293,,,,,27,65,0.293,,,,
Joe Dooley,Florida Gulf Coast,A-Sun,26,8,0.765,,,Lost First Round,2013-14,91,46,0.664,2,,,,148,98,0.602,2,,,
Anthony Evans,Florida International,CUSA,7,24,0.226,,,,2013-14,51,76,0.402,,,,,150,170,0.469,1,,,
Leonard Hamilton*,Florida State,ACC,26,9,0.743,,16,Lost Second Round,2002-03,304,196,0.608,5,1,,,504,406,0.554,8,2,,
Jeff Neubauer,Fordham,A-10,13,19,0.406,,,,2015-16,30,33,0.476,,,,,218,167,0.566,2,,,
Rodney Terry,Fresno State,MWC,20,13,0.606,,,,2011-12,105,97,0.52,1,,,,105,97,0.52,1,,,
Niko Medved,Furman,Southern,23,12,0.657,,,,2013-14,62,71,0.466,,,,,62,71,0.466,,,,
Tim Craft,Gardner-Webb,Big South,19,14,0.576,,,,2013-14,74,60,0.552,,,,,74,60,0.552,,,,
Dave Paulsen,George Mason,A-10,20,14,0.588,,,,2015-16,31,35,0.47,,,,,165,129,0.561,2,,,
Maurice Joseph,George Washington,A-10,20,15,0.571,,,,2016-17,20,15,0.571,,,,,20,15,0.571,,,,
John Thompson,Georgetown,Big East,14,18,0.438,,,,2004-05,278,151,0.648,8,2,1,,346,193,0.642,10,2,1,
Mark Fox,Georgia,SEC,19,15,0.559,,,,2009-10,145,118,0.551,2,,,,268,161,0.625,5,,,
Mark Byington,Georgia Southern,Sun Belt,18,15,0.545,,,,2013-14,69,60,0.535,,,,,69,60,0.535,,,,
Ron Hunter,Georgia State,Sun Belt,20,13,0.606,,,,2011-12,123,74,0.624,1,,,,344,253,0.576,2,,,
Josh Pastner,Georgia Tech,ACC,21,16,0.568,,,,2016-17,21,16,0.568,,,,,188,89,0.679,4,,,
Mark Few,Gonzaga,WCC,37,2,0.949,14,2,Lost National Final,1999-00,503,113,0.817,18,7,1,,503,113,0.817,18,7,1,
Shawn Walker,Grambling,SWAC,16,17,0.485,,,,2014-15,25,68,0.269,,,,,25,68,0.269,,,,
Dan Majerle,Grand Canyon,WAC,22,9,0.71,,,,2013-14,81,46,0.638,,,,,81,46,0.638,,,,
Linc Darner,Green Bay,Horizon,18,14,0.562,,,,2015-16,41,27,0.603,1,,,,41,27,0.603,1,,,
Edward Joyner,Hampton,MEAC,14,17,0.452,,,,2009-10,134,124,0.519,3,,,,134,124,0.519,3,,,
John Gallagher,Hartford,AEC,9,23,0.281,,,,2010-11,87,134,0.394,,,,,87,134,0.394,,,,
Tommy Amaker,Harvard,Ivy,18,10,0.643,,,,2007-08,193,105,0.648,4,,,,369,244,0.602,5,1,,
Eran Ganot,Hawaii,Big West,14,16,0.467,,,,2015-16,42,22,0.656,1,,,,45,24,0.652,1,,,
Scott Cherry,High Point,Big South,15,16,0.484,,,,2009-10,132,118,0.528,,,,,132,118,0.528,,,,
Joe Mihalich,Hofstra,CAA,15,17,0.469,,,,2013-14,69,64,0.519,,,,,334,267,0.556,2,,,
Bill Carmody,Holy Cross,Patriot,15,17,0.469,,,,2015-16,30,37,0.448,1,,,,314,272,0.536,3,,,
Kelvin Sampson,Houston,AAC,21,11,0.656,,,,2014-15,56,40,0.583,,,,,481,267,0.643,14,3,1,
Ron Cottrell,Houston Baptist,Southland,17,14,0.548,,,,2008-09,98,181,0.351,,,,,98,181,0.351,,,,
Kevin Nickelberry,Howard,MEAC,10,24,0.294,,,,2010-11,69,154,0.309,,,,,118,198,0.373,,,,
Don Verlin,Idaho,Big Sky,19,14,0.576,,,,2008-09,150,140,0.517,,,,,150,140,0.517,,,,
Bill Evans,Idaho State,Big Sky,5,26,0.161,,,,2012-13,45,106,0.298,,,,,253,329,0.435,1,,,
Jamall Walker,Illinois,Big Ten,2,1,0.667,,,,2016-17,2,1,0.667,,,,,2,1,0.667,,,,
John Groce,Illinois,Big Ten,18,14,0.562,,,,2012-13,95,75,0.559,1,,,,180,131,0.579,3,1,,
Steve McClain,UIC,Horizon,17,19,0.472,,,,2015-16,22,44,0.333,,,,,179,159,0.53,1,,,
Dan Muller,Illinois State,MVC,28,7,0.8,,,,2012-13,104,65,0.615,,,,,104,65,0.615,,,,
Ken Burmeister,Incarnate Word,Southland,12,17,0.414,,,,2013-14,68,46,0.596,,,,,180,161,0.528,1,,,
Tom Crean,Indiana,Big Ten,18,16,0.529,11,,,2008-09,166,135,0.551,4,3,,,356,231,0.606,9,4,1,
Greg Lansing,Indiana State,MVC,11,20,0.355,,,,2010-11,120,108,0.526,1,,,,120,108,0.526,1,,,
Tim Cluess,Iona,MAAC,22,13,0.629,,,Lost First Round,2010-11,162,78,0.675,4,,,,162,78,0.675,4,,,
Fran McCaffery,Iowa,Big Ten,19,15,0.559,,,,2010-11,137,101,0.576,3,,,,388,278,0.583,8,,,
Steve Prohm,Iowa State,Big 12,24,11,0.686,24,16,Lost Second Round,2015-16,47,23,0.671,2,1,,,151,52,0.744,3,1,,
Jon Coffman,Fort Wayne,Summit,20,13,0.606,,,,2014-15,60,38,0.612,,,,,60,38,0.612,,,,
Jason Gardner,IUPUI,Summit,14,18,0.438,,,,2014-15,37,58,0.389,,,,,37,58,0.389,,,,
Wayne Brent,Jackson State,SWAC,14,18,0.438,,,,2013-14,56,75,0.427,,,,,56,75,0.427,,,,
Tony Jasick,Jacksonville,A-Sun,17,16,0.515,,,,2014-15,43,54,0.443,,,,,95,101,0.485,,,,
Ray Harper,Jacksonville State,OVC,20,15,0.571,,,Lost First Round,2016-17,20,15,0.571,1,,,,109,79,0.58,3,,,
Louis Rowe,James Madison,CAA,10,23,0.303,,,,2016-17,10,23,0.303,,,,,10,23,0.303,,,,
Bill Self,Kansas,Big 12,31,5,0.861,3,3,Lost Regional Final,2003-04,416,88,0.825,14,9,2,1,623,193,0.763,19,12,2,1
Bruce Weber,Kansas State,Big 12,21,14,0.6,,,Lost First Round,2012-13,100,68,0.595,3,,,,413,223,0.649,11,3,1,
Al Skinner,Kennesaw State,A-Sun,14,18,0.438,,,,2015-16,25,38,0.397,,,,,410,329,0.555,9,1,,
Rob Senderoff,Kent State,MAC,22,14,0.611,,,Lost First Round,2011-12,122,81,0.601,1,,,,122,81,0.601,1,,,
John Calipari*,Kentucky,SEC,32,6,0.842,2,5,Lost Regional Final,2009-10,249,53,0.825,7,6,4,1,694,193,0.782,18,13,6,1
John Giannini,La Salle,A-10,15,15,0.5,,,,2004-05,199,207,0.49,1,1,,,324,318,0.505,1,1,,
Fran O'Hanlon,Lafayette,Patriot,9,21,0.3,,,,1995-96,303,354,0.461,3,,,,303,354,0.461,3,,,
Tic Price,Lamar,Southland,19,15,0.559,,,,2013-14,46,53,0.465,,,,,213,175,0.549,2,,,
Brett Reed,Lehigh,Patriot,20,12,0.625,,,,2007-08,182,132,0.58,2,,,,182,132,0.58,2,,,
Ritchie McKay,Liberty,Big South,21,14,0.6,,,,2007-08,73,61,0.545,,,,,238,219,0.521,1,,,
Casey Alexander,Lipscomb,A-Sun,20,13,0.606,,,,2013-14,61,66,0.48,,,,,85,102,0.455,,,,
Dan Monson,Long Beach State,Big West,15,19,0.441,,,,2007-08,170,159,0.517,1,,,,340,282,0.547,3,1,,
Jack Perri,LIU-Brooklyn,NEC,20,12,0.625,,,,2012-13,77,79,0.494,1,,,,77,79,0.494,1,,,
Jayson Gee,Longwood,Big South,6,24,0.2,,,,2013-14,35,94,0.271,,,,,35,94,0.271,,,,
Bob Marlin,Louisiana,Sun Belt,21,12,0.636,,,,2010-11,128,104,0.552,1,,,,353,235,0.6,3,,,
Keith Richard,Louisiana-Monroe,Sun Belt,9,24,0.273,,,,2010-11,77,142,0.352,,,,,227,259,0.467,,,,
Johnny Jones,LSU,SEC,10,21,0.323,,,,2012-13,90,72,0.556,1,,,,295,234,0.558,3,,,
Eric Konkol,Louisiana Tech,CUSA,23,10,0.697,,,,2015-16,46,20,0.697,,,,,46,20,0.697,,,,
Rick Pitino*,Louisville,ACC,25,9,0.735,13,10,Lost Second Round,2001-02,416,143,0.744,13,7,3,1,770,271,0.74,21,13,7,2
Porter Moser,Loyola (IL),MVC,18,14,0.562,,,,2011-12,89,105,0.459,,,,,194,206,0.485,,,,
Mike Dunlap,Loyola Marymount,WCC,15,15,0.5,,,,2014-15,37,55,0.402,,,,,37,55,0.402,,,,
G.G. Smith,Loyola (MD),Patriot,16,17,0.485,,,,2013-14,47,76,0.382,,,,,47,76,0.382,,,,
Bob Walsh,Maine,AEC,7,25,0.219,,,,2014-15,18,74,0.196,,,,,18,74,0.196,,,,
Steve Masiello,Manhattan,MAAC,10,22,0.312,,,,2011-12,102,93,0.523,2,,,,102,93,0.523,2,,,
Mike Maker,Marist,MAAC,8,24,0.25,,,,2014-15,22,72,0.234,,,,,22,72,0.234,,,,
Steve Wojciechowski,Marquette,Big East,19,13,0.594,,,Lost First Round,2014-15,52,45,0.536,1,,,,52,45,0.536,1,,,
Dan D'Antoni,Marshall,CUSA,20,15,0.571,,,,2014-15,48,52,0.48,,,,,48,52,0.48,,,,
Mark Turgeon,Maryland,Big Ten,24,9,0.727,25,,Lost First Round,2011-12,138,68,0.67,3,1,,,388,227,0.631,8,2,,
Ryan Odom,UMBC,AEC,21,13,0.618,,,,2016-17,21,13,0.618,,,,,29,24,0.547,,,,
Bobby Collins,Maryland-Eastern Shore,MEAC,14,20,0.412,,,,2014-15,42,57,0.424,,,,,144,195,0.425,1,,,
Derek Kellogg,UMass,A-10,15,18,0.455,,,,2008-09,155,137,0.531,1,,,,155,137,0.531,1,,,
Pat Duquette,UMass-Lowell,AEC,11,20,0.355,,,,2013-14,44,73,0.376,,,,,44,73,0.376,,,,
Dave Simmons,McNeese State,Southland,7,22,0.241,,,,2006-07,143,194,0.424,,,,,143,194,0.424,,,,
Tubby Smith,Memphis,AAC,19,13,0.594,,,,2016-17,19,13,0.594,,,,,576,289,0.666,18,9,1,1
Bob Hoffman,Mercer,Southern,15,17,0.469,,,,2008-09,179,130,0.579,1,,,,247,207,0.544,1,,,
Jim Larranaga,Miami (FL),ACC,21,12,0.636,,,Lost First Round,2011-12,139,69,0.668,3,2,,,581,378,0.606,8,3,1,
John Cooper,Miami (OH),MAC,11,21,0.344,,,,2012-13,59,100,0.371,,,,,102,152,0.402,,,,
John Beilein,Michigan,Big Ten,26,12,0.684,,23,Lost Regional Semifinal,2007-08,215,135,0.614,7,3,1,,508,310,0.621,11,5,1,
Tom Izzo,Michigan State,Big Ten,20,15,0.571,12,,Lost Second Round,1995-96,544,220,0.712,20,13,7,1,544,220,0.712,20,13,7,1
Kermit Davis,Middle Tennessee,CUSA,31,5,0.861,,,Lost Second Round,2002-03,307,180,0.63,3,,,,378,230,0.622,5,,,
LaVall Jordan,Milwaukee,Horizon,11,24,0.314,,,,2016-17,11,24,0.314,,,,,11,24,0.314,,,,
Richard Pitino,Minnesota,Big Ten,24,10,0.706,,,Lost First Round,2013-14,75,61,0.551,1,,,,93,75,0.554,1,,,
Andy Kennedy,Ole Miss,SEC,22,14,0.611,,,,2006-07,234,140,0.626,2,,,,255,153,0.625,2,,,
Ben Howland,Mississippi State,SEC,16,16,0.5,,,,2015-16,30,33,0.476,,,,,429,241,0.64,10,5,3,
Andre Payne,Mississippi Valley State,SWAC,7,25,0.219,,,,2014-15,21,78,0.212,,,,,21,78,0.212,,,,
Kim Anderson,Missouri,SEC,8,24,0.25,,,,2014-15,27,68,0.284,,,,,27,68,0.284,,,,
Kareem Richardson,UMKC,WAC,18,17,0.514,,,,2013-14,54,75,0.419,,,,,54,75,0.419,,,,
Paul Lusk,Missouri State,MVC,17,16,0.515,,,,2011-12,88,106,0.454,,,,,88,106,0.454,,,,
King Rice,Monmouth,MAAC,27,7,0.794,,,,2011-12,106,92,0.535,,,,,106,92,0.535,,,,
Travis DeCuire,Montana,Big Sky,16,16,0.5,,,,2014-15,57,41,0.582,,,,,57,41,0.582,,,,
Brian Fish,Montana State,Big Sky,16,16,0.5,,,,2014-15,37,56,0.398,,,,,37,56,0.398,,,,
Preston Spradlin,Morehead State,OVC,12,9,0.571,,,,2016-17,12,9,0.571,,,,,12,9,0.571,,,,
Sean Woods,Morehead State,OVC,2,7,0.222,,,,2012-13,77,70,0.524,,,,,127,150,0.458,1,,,
Todd Bozeman*,Morgan State,MEAC,14,16,0.467,,,,2006-07,173,178,0.493,2,,,,236,213,0.526,5,1,,
Jamion Christian,Mount St. Mary's,NEC,20,16,0.556,,,Lost First Round,2012-13,83,81,0.506,2,,,,83,81,0.506,2,,,
Matt McMahon,Murray State,OVC,16,17,0.485,,,,2015-16,33,31,0.516,,,,,33,31,0.516,,,,
Ed DeChellis,Navy,Patriot,16,16,0.5,,,,2011-12,68,119,0.364,,,,,287,350,0.451,2,,,
Tim Miles,Nebraska,Big Ten,12,19,0.387,,,,2012-13,75,86,0.466,1,,,,182,194,0.484,2,,,
Derrin Hansen,Omaha,Summit,18,14,0.562,,,,2012-13,76,80,0.487,,,,,76,80,0.487,,,,
Eric Musselman,Nevada,MWC,28,7,0.8,,,Lost First Round,2015-16,52,21,0.712,1,,,,52,21,0.712,1,,,
Marvin Menzies,UNLV,MWC,11,21,0.344,,,,2016-17,11,21,0.344,,,,,209,132,0.613,5,,,
Bill Herrion,New Hampshire,AEC,20,12,0.625,,,,2005-06,157,206,0.433,,,,,394,375,0.512,3,,,
Craig Neal,New Mexico,MWC,17,14,0.548,,,,2013-14,76,52,0.594,1,,,,76,52,0.594,1,,,
Paul Weir,New Mexico State,WAC,28,6,0.824,,,Lost First Round,2016-17,28,6,0.824,1,,,,28,6,0.824,1,,,
Mark Slessinger,New Orleans,Southland,20,12,0.625,,,,2012-13,60,83,0.42,1,,,,60,83,0.42,1,,,
Chris Casey,Niagara,MAAC,10,23,0.303,,,,2013-14,32,96,0.25,,,,,32,96,0.25,,,,
Richie Riley,Nicholls State,Southland,14,17,0.452,,,,2016-17,14,17,0.452,,,,,14,17,0.452,,,,
Brian Kennedy,NJIT,A-Sun,11,20,0.355,,,,2016-17,11,20,0.355,,,,,11,20,0.355,,,,
Robert Jones,Norfolk State,MEAC,17,17,0.5,,,,2013-14,73,63,0.537,,,,,73,63,0.537,,,,
Roy Williams,UNC,ACC,33,7,0.825,6,6,Won National Final,2003-04,398,115,0.776,13,9,5,3,816,216,0.791,27,18,9,3
Nick McDevitt,UNC Asheville,Big South,23,10,0.697,,,,2013-14,77,53,0.592,1,,,,77,53,0.592,1,,,
Jay Joyner,North Carolina A&T,MEAC,3,29,0.094,,,,2015-16,8,34,0.19,,,,,8,34,0.19,,,,
LeVelle Moton,North Carolina Central,MEAC,25,9,0.735,,,,2009-10,152,103,0.596,2,,,,152,103,0.596,2,,,
Wes Miller,UNC Greensboro,Southern,25,10,0.714,,,,2011-12,85,102,0.455,,,,,85,102,0.455,,,,
Mark Gottfried,NC State,ACC,15,17,0.469,,,,2011-12,123,86,0.589,4,2,,,401,241,0.625,11,3,,
Kevin Keatts,UNC Wilmington,CAA,29,6,0.829,,,Lost First Round,2014-15,72,28,0.72,2,,,,72,28,0.72,2,,,
Brian Jones,North Dakota,Big Sky,22,10,0.688,,,Lost First Round,2009-10,124,135,0.479,1,,,,124,135,0.479,1,,,
David Richman,North Dakota State,Summit,19,11,0.633,,,,2014-15,62,34,0.646,1,,,,62,34,0.646,1,,,
Matthew Driscoll,North Florida,A-Sun,15,19,0.441,,,,2009-10,133,131,0.504,1,,,,133,131,0.504,1,,,
